0,1,2,3,4,5,6,7,8
2,"ABRAÇADEIRA, MATERIAL AÇO GALVANIZADO TIPO U CARACTERÍSTICAS ADICIONAIS TAMANHO 1 POL",Unidade 370513 0 0 50 5,,,,,,55
3,"ABRAÇADEIRA, MATERIAL: AÇO CARBONO,  TIPO:  LISO,  LARGURA:1  1/4 POL, APLICAÇÃO: AMARRAÇÃO, MODELO: “U”, DIÂMETRO AMARRAÇÃO:1 1/2 POL",Unidade 344544 0 0 50 5,,,,,,55
4,"ABRAÇADEIRA MATERIAL: METAL GALVANIZADO, DIÂMETRO AMARRAÇÃO: 1 POL",Unidade 304268 0 0 50 5,,,,,,55
5,"ABRAÇADEIRA MATERIAL: METAL GALVANIZADO, DIÂMETRO AMARRAÇÃO: 1/2 POL",Unidade 304266 0 0 50 5,,,,,,55
6,"ABRAÇADEIRA MATERIAL: METAL GALVANIZADO, DIÂMETRO AMARRAÇÃO: 3/4 POL",Unidade 304267 0 0 50 5,,,,,,55
7,"ABRAÇADEIRA MATERIAL: NÁILON, APLICAÇÃO: INSTALAÇÕES ELÉTRICAS, COMPRIMENTO TOTAL: 100 MM, LARGURA: 2,5 M",PCT 484598 10 0 20 2 C/ 100,,,,,,22
8,"ABRAÇADEIRA MATERIAL: NÁILON, APLICAÇÃO: AMARRAÇÃO, COMPRIMENTO TOTAL: 151 MM, ESPESSURA: 110  MM, TIPO: COM RANHURAS, LARGURA: 3,70 MM, CARACTERÍSTICAS ADICIONAIS: SEM SISTEMA FIXAÇÃO, TRAVAMENTO: DEFINITIVO",PCT 232887 10 0 20 2 C/ 100,,,,,,22
9,"ABRAÇADEIRA MATERIAL: NÁILON, COMPRIMENTO  TOTAL:  202  MM,  TIPO: COM  RANHURAS,  LARGURA:  3,80  MM, CARACTERÍSTICAS ADICIONAIS: COM ENCAIXE E PRESSÃO",PCT 394306 10 0 20 2 C/ 100,,,,,,22
10,"ABRAÇADEIRA MATERIAL: NÁILON, TIPO: COM RANHURAS, COMPRIMENTO TOTAL:  200  MM,  LARGURA:  4,800  MM, ESPESSURA: 1,20  MM, APLICAÇÃO: AMARRAÇÃO, CARACTERÍSTICAS ADICIONAIS:  SEM  SISTEMA  FIXAÇÃO  E TRAVAMENTO DEFINITIVO",PCT 368325 0 0 20 2 C/ 100,,,,,,22
11,"ABRAÇADEIRA MATERIAL: NÁILON, COMPRIMENTO TOTAL: 210 MM, LARGURA: 4,6 MM, APLICAÇÃO: INSTALAÇÕES ELÉTRICAS",PCT 484600 0 0 20 2 C/ 100,,,,,,22
12,"ABRAÇADEIRA MATERIAL: NÁILON, TIPO: COM RANHURAS, COMPRIMENTO TOTAL:  283  MM,  LARGURA:  4,80  MM, ESPESSURA: 1 MM, APLICAÇÃO: AMARRAÇÃO E FIXAÇÃO, CARACTERÍSTICAS ADICIONAIS: COM SISTEMA FIXAÇÃO",PCT 353362 0 C/ 100,,,0,20,2,22
13,"ALICATE AMPERÍMETRO MATERIAL: PLÁSTICO, TIPO: DIGITAL, CORRENTE: 20 A/  200  A/  1.000  AA,  VOLTAGEM:  750V AC E 1000V DC, ALIMENTAÇÃO:",Unidade 460100 2,,,0,4,1,5
